Drug,"Drug Target","Effect size",P-value,FDR%,"No. of altered cell lines","Tissue analysis"
BMS-345541,"IKK1, IKK2",-0.0391,0.142,73.3,89,PANCANCER
CGP-082996,CDK4,0.238,0.148,89.4,34,PANCANCER
CHIR-99021,"GSK3A, GSK3B",0.0469,0.153,83.6,90,PANCANCER
Temozolomide,"DNA alkylating agent",-0.118,0.155,62.1,88,PANCANCER
Pictilisib,"PI3K (class 1)",0.0679,0.164,70.9,88,PANCANCER
TPCA-1,IKK2,0.238,0.175,75.3,88,PANCANCER
NVP-BHG712,EPHB4,0.166,0.18,86.1,88,PANCANCER
SB505124,"ALK4, ALK5",-0.124,0.182,93.2,91,PANCANCER
Olaparib,"PARP1, PARP2",-0.137,0.186,66.2,83,PANCANCER
Masitinib,"KIT, PDGFRA, PDGFRB",-0.144,0.188,91.5,89,PANCANCER
AS605240,PI3Kgamma,0.238,0.189,97.7,90,PANCANCER
Bosutinib,"SRC, ABL, TEC",0.187,0.206,49.1,83,PANCANCER
SB52334,ALK5,-0.0398,0.223,99.7,88,PANCANCER
HG6-64-1,BRAF,-0.0146,0.23,72.2,82,PANCANCER
YM201636,PIKFYVE,0.104,0.23,85.4,88,PANCANCER
Ruxolitinib,"JAK1, JAK2",-0.0481,0.231,99.7,90,PANCANCER
Cytarabine,Antimetabolite,-0.136,0.233,89.4,83,PANCANCER
Dactolisib,"PI3K (Class 1), MTORC1, MTORC2",-0.263,0.234,64.4,79,PANCANCER
PFI-1,BRD4,0.122,0.242,55.6,91,PANCANCER
Refametinib,"MEK1, MEK2",0.207,0.242,76.2,79,PANCANCER
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",-0.112,0.243,88.1,81,PANCANCER
CUDC-101,"HDAC1-10, EGFR, ERBB2",0.111,0.244,97.5,85,PANCANCER
PF-562271,"FAK, FAK2",-0.144,0.251,65.5,82,PANCANCER
WH-4-023,"SRC, LCK",0.146,0.253,80.4,33,PANCANCER
MK-2206,"AKT1, AKT2",-0.197,0.254,97.6,78,PANCANCER
STF-62247,"Autophagy inducer",-0.0946,0.257,96.4,88,PANCANCER
Doramapimod,"p38, JNK2",0.162,0.258,99.7,79,PANCANCER
BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",-0.149,0.26,71.3,80,PANCANCER
Phenformin,"Biguanide agent",-0.172,0.263,79.9,87,PANCANCER
Tretinoin,"Retinoic acid",0.219,0.269,83.1,81,PANCANCER
Vinblastine,"Microtubule destabiliser",-0.214,0.271,87.8,83,PANCANCER
ZM447439,"AURKA, AURKB",-0.191,0.272,56.9,78,PANCANCER
NG-25,"TAK1, MAP4K2",0.0965,0.274,90.4,88,PANCANCER
GSK269962A,"ROCK1, ROCK2",-0.26,0.277,72.8,91,PANCANCER
AR-42,HDAC1,0.123,0.279,98.1,87,PANCANCER
PD0325901,"MEK1, MEK2",0.203,0.284,92.7,79,PANCANCER
S-Trityl-L-cysteine,KIF11,0.316,0.291,85.5,34,PANCANCER
NU7441,DNAPK,-0.115,0.294,76,80,PANCANCER
"AKT inhibitor VIII","AKT1, AKT2, AKT3",-0.185,0.296,80,82,PANCANCER
Navitoclax,"BCL2, BCL-XL, BCL-W",0.244,0.304,67.9,80,PANCANCER
KIN001-270,CDK9,-0.158,0.312,98.9,88,PANCANCER
HG-5-88-01,"EGFR, ADCK4",0.387,0.314,76.3,57,PANCANCER
QS11,ARFGAP1,-0.0871,0.314,90.8,79,PANCANCER
XAV939,"TNKS1, TNKS2",0.107,0.319,92,88,PANCANCER
"AICA Ribonucleotide","AMPK agonist",0.0603,0.322,99.9,82,PANCANCER
Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",-0.107,0.348,99.7,78,PANCANCER
Quizartinib,FLT3,-0.0301,0.352,98.6,89,PANCANCER
Veliparib,"PARP1, PARP2",-0.0857,0.352,78,83,PANCANCER
HG-5-113-01,"LOK, LTK, TRCB, ABL(T315I)",-0.0267,0.354,87.9,56,PANCANCER
AZD7762,"CHEK1, CHEK2",-0.0627,0.361,77.1,83,PANCANCER
TL-1-85,TAK,0.102,0.366,99.6,88,PANCANCER
QL-XII-61,"BMX, BTK",-0.228,0.369,79.3,55,PANCANCER
Nilotinib,ABL,0.15,0.371,99.2,81,PANCANCER
Tivozanib,"VEGFR1, VEGFR2, VEGFR3",-0.0725,0.374,99.8,89,PANCANCER
Elesclomol,HSP90,-0.16,0.378,60.9,83,PANCANCER
XMD11-85h,"BRSK2, FLT4, MARK4, PRKCD, RET, SRPK1",-0.116,0.382,76.9,56,PANCANCER
PI-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2",-0.189,0.383,98.8,88,PANCANCER
GSK319347A,IKK,-0.0058,0.385,99.3,37,PANCANCER
MPS-1-IN-1,MPS1,0.225,0.386,82.7,88,PANCANCER
Dacinostat,HDAC1,0.157,0.392,76.9,79,PANCANCER
Doxorubicin,Anthracycline,-0.134,0.397,64.9,79,PANCANCER
PAC-1,"Procaspase-3, Procaspase-7",-0.0104,0.405,78.4,77,PANCANCER
Seliciclib,"CDK2, CDK7, CDK9",-0.151,0.405,94.6,37,PANCANCER
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3",0.0363,0.407,76.8,81,PANCANCER
FMK,RSK,0.0217,0.408,78.8,78,PANCANCER
"Nutlin-3a (-)",MDM2,0.0218,0.409,51.8,80,PANCANCER
Bleomycin,"dsDNA break induction",0.0701,0.409,83.7,79,PANCANCER
BMS-509744,ITK,0.241,0.415,92.6,34,PANCANCER
Trametinib,"MEK1, MEK2",0.158,0.426,65.1,87,PANCANCER
Selumetinib,"MEK1, MEK2",0.182,0.428,77.7,89,PANCANCER
VX-11e,ERK2,0.14,0.447,96.6,88,PANCANCER
A-443654,"AKT1, AKT2, AKT3",0.0906,0.455,87.5,34,PANCANCER
Erlotinib,EGFR,0.198,0.456,99.8,32,PANCANCER
Olaparib,"PARP1, PARP2",-0.153,0.458,76.2,88,PANCANCER
Lenalidomide,CRBN,0.0193,0.46,93.2,83,PANCANCER
Pyrimethamine,"Dihydrofolate reductase (DHFR)",-0.0237,0.465,75.4,37,PANCANCER
Enzastaurin,PKCB,0.126,0.466,94.6,90,PANCANCER
TAK-715,"p38alpha, p38beta",0.0405,0.478,98.5,90,PANCANCER
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",-0.128,0.48,90.2,82,PANCANCER
Selumetinib,"MEK1, MEK2",0.0812,0.48,81.7,78,PANCANCER
CHIR-99021,"GSK3A, GSK3B",-0.0313,0.484,74.5,81,PANCANCER
GNF-2,BCR-ABL,0.196,0.489,77.4,34,PANCANCER
Amuvatinib,"KIT, PDGFRA, FLT3",-0.0211,0.492,99.2,89,PANCANCER
SNX-2112,HSP90,0.016,0.499,99.2,87,PANCANCER
GSK1904529A,"IGF1R, IR",-0.0882,0.506,87,79,PANCANCER
PHA-793887,"CDK2, CDK7, CDK5",-0.0041,0.532,96.4,89,PANCANCER
BX-912,"PDK1 (PDPK1)",0.0245,0.535,97.6,89,PANCANCER
Bexarotene,"Retinioic X receptor (RXR) agonist",0.00572,0.536,99.5,79,PANCANCER
QL-VIII-58,"MTOR, ATR",-0.205,0.54,67.4,57,PANCANCER
Tanespimycin,HSP90,-0.167,0.547,84.8,80,PANCANCER
PFI-3,"SMARCA2, SMARCA4, PB1",-0.033,0.555,81.5,81,PANCANCER
Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",0.0762,0.557,79.7,88,PANCANCER
SB216763,"GSK3A, GSK3B",0.036,0.561,70.9,72,PANCANCER
Selisistat,SIRT1,-0.0852,0.565,91.3,88,PANCANCER
Lapatinib,"ERBB2, EGFR",-0.0019,0.568,99.3,37,PANCANCER
Paclitaxel,"Microtubule stabiliser",0.092,0.573,88.7,34,PANCANCER
CAY10603,"HDAC1, HDAC6",0.00757,0.584,99.6,88,PANCANCER
FR-180204,"ERK1, ERK2",0.22,0.589,99.8,88,PANCANCER
KIN001-236,"Angiopoietin-1 receptor",0.0104,0.597,99.2,88,PANCANCER
XMD14-99,"ALK, CDK7, LTK, others",0.0604,0.601,98.4,89,PANCANCER
Bortezomib,Proteasome,-0.027,0.604,72.7,37,PANCANCER
AS601245,"JNK1, JNK2, JNK2",-0.0351,0.615,96,78,PANCANCER
OSI-027,"MTORC1, MTORC2",-0.0894,0.62,99.9,89,PANCANCER
Serdemetan,MDM2,-0.0744,0.621,63.2,87,PANCANCER
Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",0.0631,0.623,98.9,88,PANCANCER
Palbociclib,"CDK4, CDK6",0.0742,0.624,87.7,78,PANCANCER
Cyclopamine,SMO,-0.135,0.629,99.6,37,PANCANCER
Tamoxifen,ESR1,-0.0574,0.629,99.1,91,PANCANCER
KIN001-266,MAP3K8,-0.0495,0.63,64,88,PANCANCER
Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",0.128,0.631,94.3,83,PANCANCER
Docetaxel,"Microtubule stabiliser",-0.168,0.643,86.8,83,PANCANCER
GW843682X,PLK1,0.183,0.647,74.2,34,PANCANCER
Belinostat,HDAC1,0.0467,0.65,99.8,84,PANCANCER
NSC-207895,MDM4,0.0771,0.652,99.8,87,PANCANCER
BMS-754807,"IGF1R, IR",0.271,0.653,95.5,79,PANCANCER
JNK-9L,"JNK2, JNK3",-0.0829,0.662,78.5,82,PANCANCER
ZSTK474,"PI3K (class 1)",-0.00415,0.662,86.9,90,PANCANCER
"Ispinesib Mesylate",KSP,-0.0554,0.666,76.4,89,PANCANCER
OSU-03012,"PDK1 (PDPK1)",-0.0811,0.667,95.4,79,PANCANCER
Pelitinib,EGFR,0.118,0.669,94,89,PANCANCER
Vinorelbine,"Microtubule destabiliser",-0.0978,0.674,95.7,82,PANCANCER
UNC0638,"G9a and GLP methyltransferases",0.0498,0.675,68.3,91,PANCANCER
BIX02189,"MEK5, ERK5",0.104,0.676,98.9,88,PANCANCER
QL-XII-47,"BTK, BMX",0.0195,0.679,99.9,89,PANCANCER
VNLG/124,"HDAC,RAR",0.111,0.683,99.4,88,PANCANCER
PHA-665752,MET,0.116,0.683,99.8,34,PANCANCER
Crizotinib,"MET, ALK, ROS1",0.0456,0.685,90.4,34,PANCANCER
"JNK Inhibitor VIII",JNK,-0.0602,0.688,99.9,80,PANCANCER
Daporinad,NAMPT,-0.13,0.691,90,89,PANCANCER
BAY-61-3606,SYK,-0.0323,0.694,82.1,79,PANCANCER
Thapsigargin,SERCA,0.0173,0.698,98.1,77,PANCANCER
AZD8055,"MTORC1, MTORC2",0.0815,0.7,91.7,78,PANCANCER
XMD15-27,CAMK2,-0.00975,0.7,86.2,89,PANCANCER
FTI-277,"Farnesyl-transferase (FNTA)",0.0778,0.702,96.6,82,PANCANCER
Pevonedistat,NAE,-0.0957,0.703,86.1,65,PANCANCER
NPK76-II-72-1,PLK3,0.0726,0.703,84.7,88,PANCANCER
Z-LLNle-CHO,gamma-secretase,0.11,0.708,99.1,34,PANCANCER
Gefitinib,EGFR,0.0874,0.71,86.1,83,PANCANCER
RO-3306,CDK1,-0.0155,0.712,77.6,80,PANCANCER
SL0101,"RSK, AURKB, PIM1, PIM3",-0.0155,0.715,89.4,80,PANCANCER
Talazoparib,"PARP1, PARP2",-0.0177,0.717,81.6,88,PANCANCER
JW-7-24-1,LCK,-0.0812,0.723,100,89,PANCANCER
Etoposide,TOP2,-0.0553,0.728,78.7,82,PANCANCER
Refametinib,"MEK1, MEK2",0.0992,0.73,75.1,87,PANCANCER
Cetuximab,EGFR,0.0882,0.738,78.8,86,PANCANCER
CX-5461,"RNA Polymerase 1",0.0721,0.743,91.9,88,PANCANCER
GW441756,NTRK1,0.0947,0.743,99.4,82,PANCANCER
(5Z)-7-Oxozeaenol,TAK1,-0.00664,0.745,77.1,90,PANCANCER
JQ1,"BRD2, BRD3, BRD4, BRDT",-0.028,0.748,90.7,82,PANCANCER
PD173074,"FGFR1, FGFR3",-0.0239,0.754,75.7,79,PANCANCER
Embelin,XIAP,-0.0787,0.755,91.2,79,PANCANCER
YK-4-279,"RNA helicase A",-0.105,0.758,79.9,73,PANCANCER
GSK269962A,"ROCK1, ROCK2",-0.0544,0.76,96.1,37,PANCANCER
Luminespib,HSP90,-0.123,0.762,78.7,79,PANCANCER
Imatinib,"ABL, KIT, PDGFR",0.193,0.767,99.6,34,PANCANCER
CMK,RSK2,0.115,0.773,82.4,34,PANCANCER
"Tubastatin A","HDAC1, HDAC6, HDAC8",0.111,0.776,99.7,88,PANCANCER
PIK-93,PI3Kgamma,-0.00205,0.783,98.6,88,PANCANCER
Alectinib,ALK,0.123,0.792,99.9,89,PANCANCER
Entinostat,"HDAC1, HDAC3",0.179,0.792,99.2,37,PANCANCER
TL-2-105,"not defined",0.107,0.797,93.3,90,PANCANCER
Parthenolide,HDAC1,0.0721,0.799,93.8,38,PANCANCER
Pictilisib,"PI3K (class 1)",0.0477,0.802,90.2,79,PANCANCER
QL-XI-92,DDR1,-0.0263,0.812,99.1,89,PANCANCER
CI-1040,"MEK1, MEK2",0.127,0.815,65.4,83,PANCANCER
Rucaparib,"PARP1, PARP2",-0.0332,0.816,70.7,87,PANCANCER
Methotrexate,Antimetabolite,0.0749,0.816,94.1,83,PANCANCER
PLX-4720,BRAF,0.0404,0.818,94.9,89,PANCANCER
LFM-A13,BTK,-0.0391,0.821,72.1,79,PANCANCER
IPA-3,PAK1,-0.0106,0.828,92.2,79,PANCANCER
Fedratinib,JAK2,0.0683,0.828,99.8,89,PANCANCER
FH535,"PPARgamma, PPARdelta",-0.0682,0.836,93.5,78,PANCANCER
Piperlongumine,"Induces reactive oxygen species",-0.131,0.842,88.6,91,PANCANCER
SN-38,TOP1,-0.0469,0.842,72.9,91,PANCANCER
KIN001-260,IKKB,0.0451,0.843,99.7,88,PANCANCER
Afatinib,"ERBB2, EGFR",0.102,0.844,90.7,83,PANCANCER
AZ628,BRAF,0.192,0.85,97.1,37,PANCANCER
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",0.212,0.858,92.4,34,PANCANCER
UNC0638,"G9a and GLP methyltransferases",0.0303,0.858,99.5,88,PANCANCER
Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",-0.0308,0.868,99.9,89,PANCANCER
Gemcitabine,"Pyrimidine antimetabolite",-0.0565,0.871,86.1,77,PANCANCER
Sorafenib,"PDGFR, KIT, VEGFR, RAF",0.146,0.878,87.7,37,PANCANCER
Tipifarnib,"Farnesyl-transferase (FNTA)",-0.0575,0.879,98.3,79,PANCANCER
THZ-2-49,CDK9,-0.0994,0.88,94.5,88,PANCANCER
BI-2536,"PLK1, PLK2, PLK3",0.0861,0.883,79.9,33,PANCANCER
Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",-0.00676,0.89,69.2,83,PANCANCER
QL-X-138,BTK,-0.104,0.891,99,88,PANCANCER
KU-55933,ATM,0.00606,0.894,95.7,79,PANCANCER
"Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1",-0.0114,0.895,70,77,PANCANCER
JQ1,"BRD2, BRD3, BRD4, BRDT",0.0527,0.896,92.6,90,PANCANCER
KIN001-244,"PDK1 (PDPK1)",-0.0265,0.903,99.3,88,PANCANCER
Shikonin,"not defined",-0.0978,0.909,99.7,82,PANCANCER
5-Fluorouracil,"Antimetabolite (DNA & RNA)",0.0543,0.916,89.7,88,PANCANCER
"Epothilone B","Microtubule stabiliser",-0.0614,0.918,82.3,79,PANCANCER
XMD13-2,RIPK1,-0.0322,0.921,100,89,PANCANCER
ICL1100013,"N-myristoyltransferase 1/2",-0.0388,0.922,55.4,89,PANCANCER
"Sepantronium bromide",BIRC5,-0.0517,0.927,89.7,85,PANCANCER
VX-702,p38,0.148,0.938,98.1,83,PANCANCER
Motesanib,"VEGFR, RET, KIT, PDGFR",-0.00376,0.94,99.3,80,PANCANCER
"Genentech Cpd 10","AURKA, AURKB",0.00807,0.948,93.2,89,PANCANCER
CP724714,ERBB2,0.0102,0.957,79.3,89,PANCANCER
WZ3105,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",0.00319,0.963,63.3,89,PANCANCER
CP466722,ATM,0.0241,0.965,99.8,90,PANCANCER
JQ12,"HDAC1, HDAC2",0.0727,0.965,99.5,81,PANCANCER
XMD8-92,MAPK7,-0.0291,0.967,99.7,56,PANCANCER
Avagacestat,"Amyloid beta20, Amyloid beta40",0.0124,0.969,99.7,88,PANCANCER
rTRAIL,"TRAIL receptor agonist",0.0724,0.969,99.8,89,PANCANCER
Salubrinal,EIF2A,0.0829,0.969,99.4,37,PANCANCER
Afatinib,"ERBB2, EGFR",0.0986,0.971,99.7,89,PANCANCER
Tozasertib,"AURKA, AURKB, AURKC, others",0.112,0.975,81.1,34,PANCANCER
Mitomycin-C,"DNA crosslinker",0.0337,0.984,99.6,79,PANCANCER
AT-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",0.068,0.99,99.7,89,PANCANCER
Bleomycin,"dsDNA break induction",-0.0652,0.99,70.9,89,PANCANCER
I-BET-762,"BRD2, BRD3, BRD4",0.0715,1,100,88,PANCANCER
