Drug,"Drug Target","Effect size",P-value,FDR%,"No. of altered cell lines","Tissue analysis"
Navitoclax,"BCL2, BCL-XL, BCL-W",0.375,0.346,71.1,37,PANCANCER
UNC0638,"G9a and GLP methyltransferases",0.23,0.347,62.2,40,PANCANCER
EHT-1864,"RAC1, RAC2, RAC3",-0.121,0.351,83.6,38,PANCANCER
XMD15-27,CAMK2,0.0414,0.354,86.2,43,PANCANCER
GSK269962A,"ROCK1, ROCK2",0.161,0.361,81.2,40,PANCANCER
OSI-930,KIT,0.02,0.362,65.5,43,PANCANCER
Etoposide,TOP2,-0.123,0.37,70.1,38,PANCANCER
ZG-10,JNK1,0.0848,0.371,83.7,29,PANCANCER
"TW 37","BCL2, BCL-XL, MCL1",0.214,0.375,58.8,37,PANCANCER
KIN001-270,CDK9,-0.0249,0.375,98.9,43,PANCANCER
KIN001-236,"Angiopoietin-1 receptor",-0.0573,0.382,99.2,43,PANCANCER
Cyclopamine,SMO,-0.159,0.384,99.6,20,PANCANCER
Salubrinal,EIF2A,-0.0274,0.396,91.2,20,PANCANCER
Avagacestat,"Amyloid beta20, Amyloid beta40",-0.127,0.399,85,38,PANCANCER
Dactolisib,"PI3K (Class 1), MTORC1, MTORC2",0.271,0.413,77.5,37,PANCANCER
QL-XI-92,DDR1,0.128,0.418,93.4,43,PANCANCER
Gefitinib,EGFR,0.124,0.422,81.6,38,PANCANCER
VX-702,p38,0.259,0.425,95,38,PANCANCER
SB52334,ALK5,0.238,0.437,99.7,43,PANCANCER
Zibotentan,"Endothelin-1 receptor (EDNRA)",-0.0114,0.439,85.3,43,PANCANCER
Cisplatin,"DNA crosslinker",0.188,0.44,62.7,38,PANCANCER
(5Z)-7-Oxozeaenol,TAK1,0.139,0.44,68.3,39,PANCANCER
"AKT inhibitor VIII","AKT1, AKT2, AKT3",-0.0291,0.444,84.4,38,PANCANCER
Axitinib,"PDGFR, KIT, VEGFR",0.0183,0.446,84,38,PANCANCER
Bicalutamide,AR,0.138,0.447,99.6,37,PANCANCER
FR-180204,"ERK1, ERK2",-0.113,0.453,99.8,43,PANCANCER
GSK269962A,"ROCK1, ROCK2",0.206,0.456,84.5,20,PANCANCER
PFI-3,"SMARCA2, SMARCA4, PB1",0.155,0.457,81.3,32,PANCANCER
Bicalutamide,AR,-0.126,0.46,84.6,36,PANCANCER
Embelin,XIAP,-0.112,0.466,86.3,36,PANCANCER
PLX-4720,BRAF,0.257,0.466,96.5,37,PANCANCER
"Tubastatin A","HDAC1, HDAC6, HDAC8",-0.0228,0.466,99.7,43,PANCANCER
Omipalisib,"PI3K (class 1), MTORC1, MTORC2",0.101,0.468,98.2,43,PANCANCER
Linsitinib,IGF1R,0.208,0.473,77.6,36,PANCANCER
CHIR-99021,"GSK3A, GSK3B",-0.0771,0.476,74.5,38,PANCANCER
VX-11e,ERK2,-0.342,0.488,96.6,43,PANCANCER
Tamoxifen,ESR1,0.185,0.493,98.6,40,PANCANCER
Shikonin,"not defined",0.077,0.5,98.2,38,PANCANCER
Serdemetan,MDM2,0.199,0.515,59.5,37,PANCANCER
Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",0.229,0.516,89.5,38,PANCANCER
QL-XII-47,"BTK, BMX",-0.117,0.516,99.9,43,PANCANCER
YK-4-279,"RNA helicase A",-0.0432,0.517,78.5,26,PANCANCER
ZM447439,"AURKA, AURKB",0.0889,0.52,66.8,35,PANCANCER
GSK650394,"SGK2, SGK3",-0.216,0.52,98.4,35,PANCANCER
OSU-03012,"PDK1 (PDPK1)",-0.213,0.537,94.9,35,PANCANCER
SL0101,"RSK, AURKB, PIM1, PIM3",0.148,0.553,82.7,37,PANCANCER
XMD8-85,"ERK5, BET",0.0335,0.558,76.3,20,PANCANCER
MG-132,"Proteasome, CAPN1",0.197,0.563,72.6,20,PANCANCER
QL-X-138,BTK,-0.00231,0.566,96.7,42,PANCANCER
Phenformin,"Biguanide agent",-0.195,0.566,82.9,43,PANCANCER
"Wee1 Inhibitor","WEE1, CHEK1",0.148,0.569,74.8,35,PANCANCER
Cytarabine,Antimetabolite,-0.0203,0.57,99.5,37,PANCANCER
GNF-2,BCR-ABL,-0.07,0.572,77.4,20,PANCANCER
Olaparib,"PARP1, PARP2",0.0981,0.58,76.7,39,PANCANCER
FTI-277,"Farnesyl-transferase (FNTA)",0.261,0.581,94.5,38,PANCANCER
BX-912,"PDK1 (PDPK1)",0.115,0.583,97.7,43,PANCANCER
Veliparib,"PARP1, PARP2",-0.0352,0.586,85.4,38,PANCANCER
Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",-0.000452,0.587,99.9,43,PANCANCER
CUDC-101,"HDAC1-10, EGFR, ERBB2",-0.117,0.592,99.1,42,PANCANCER
Tipifarnib,"Farnesyl-transferase (FNTA)",-0.0248,0.592,95.3,36,PANCANCER
PHA-793887,"CDK2, CDK7, CDK5",-0.0762,0.601,98.2,43,PANCANCER
Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",0.152,0.605,62.4,38,PANCANCER
Elesclomol,HSP90,0.314,0.612,67.7,38,PANCANCER
BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",0.249,0.625,80.2,37,PANCANCER
T0901317,"LXR, FXR",-0.0121,0.627,98.8,43,PANCANCER
"Nutlin-3a (-)",MDM2,0.056,0.629,60.1,37,PANCANCER
Z-LLNle-CHO,gamma-secretase,0.113,0.63,97.5,20,PANCANCER
Alectinib,ALK,-0.0259,0.642,99.9,43,PANCANCER
BMS-754807,"IGF1R, IR",0.116,0.647,95.5,36,PANCANCER
TPCA-1,IKK2,-4.16e-05,0.652,82.8,43,PANCANCER
Motesanib,"VEGFR, RET, KIT, PDGFR",0.328,0.657,99.3,37,PANCANCER
Pevonedistat,NAE,0.0163,0.662,84.5,22,PANCANCER
GW-2580,CSF1R,-0.0143,0.683,99.8,43,PANCANCER
"Ispinesib Mesylate",KSP,-0.133,0.686,76.4,43,PANCANCER
HG-5-113-01,"LOK, LTK, TRCB, ABL(T315I)",0.117,0.693,94.5,29,PANCANCER
SB216763,"GSK3A, GSK3B",0.0169,0.695,72.4,34,PANCANCER
XMD11-85h,"BRSK2, FLT4, MARK4, PRKCD, RET, SRPK1",-0.0522,0.698,84.1,30,PANCANCER
Parthenolide,HDAC1,0.0591,0.702,92.1,20,PANCANCER
Doramapimod,"p38, JNK2",0.157,0.711,99.7,37,PANCANCER
WZ-1-84,BMX,0.105,0.714,99.8,20,PANCANCER
PIK-93,PI3Kgamma,0.0543,0.721,98.6,43,PANCANCER
Temozolomide,"DNA alkylating agent",0.225,0.724,82.3,39,PANCANCER
rTRAIL,"TRAIL receptor agonist",-0.0401,0.728,99.8,40,PANCANCER
CAY10603,"HDAC1, HDAC6",-0.0918,0.732,99.6,43,PANCANCER
JQ12,"HDAC1, HDAC2",0.0154,0.734,98.4,38,PANCANCER
AR-42,HDAC1,-0.13,0.735,99.4,42,PANCANCER
Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",0.0867,0.737,99.7,36,PANCANCER
JW-7-24-1,LCK,0.052,0.742,100,43,PANCANCER
AZD6482,PI3Kbeta,0.00208,0.747,94.4,38,PANCANCER
IPA-3,PAK1,0.0245,0.75,92.2,36,PANCANCER
GSK1904529A,"IGF1R, IR",0.0758,0.758,87,36,PANCANCER
Belinostat,HDAC1,-0.171,0.768,99.8,42,PANCANCER
Dacinostat,HDAC1,-0.0831,0.783,76.9,36,PANCANCER
QL-XII-61,"BMX, BTK",0.0116,0.785,89.6,29,PANCANCER
PI-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2",0.113,0.787,99.9,43,PANCANCER
FH535,"PPARgamma, PPARdelta",-0.0383,0.787,93.5,36,PANCANCER
ICL1100013,"N-myristoyltransferase 1/2",0.0497,0.788,52.9,40,PANCANCER
RO-3306,CDK1,0.154,0.79,79.6,37,PANCANCER
LFM-A13,BTK,0.185,0.799,72.1,36,PANCANCER
AZD7762,"CHEK1, CHEK2",0.163,0.8,93.5,38,PANCANCER
Idelalisib,PI3Kdelta,0.0478,0.802,99.1,43,PANCANCER
KIN001-244,"PDK1 (PDPK1)",0.0111,0.81,99.3,42,PANCANCER
Bosutinib,"SRC, ABL, TEC",0.15,0.813,68.1,38,PANCANCER
Bexarotene,"Retinioic X receptor (RXR) agonist",0.0581,0.815,99.5,35,PANCANCER
Lapatinib,"ERBB2, EGFR",-0.125,0.818,99.3,20,PANCANCER
VNLG/124,"HDAC,RAR",0.135,0.819,99.4,43,PANCANCER
OSI-027,"MTORC1, MTORC2",0.0921,0.828,99.9,43,PANCANCER
PD173074,"FGFR1, FGFR3",0.195,0.836,77,37,PANCANCER
Olaparib,"PARP1, PARP2",0.108,0.836,92.9,38,PANCANCER
"Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1",-0.0282,0.842,70,35,PANCANCER
Tanespimycin,HSP90,-0.0178,0.844,94.4,37,PANCANCER
Afatinib,"ERBB2, EGFR",-0.145,0.846,90.7,38,PANCANCER
Amuvatinib,"KIT, PDGFRA, FLT3",-0.0216,0.851,99.5,43,PANCANCER
5-Fluorouracil,"Antimetabolite (DNA & RNA)",-0.226,0.853,87.8,43,PANCANCER
SB505124,"ALK4, ALK5",0.154,0.856,99.5,40,PANCANCER
SB590885,BRAF,0.0589,0.86,99.8,37,PANCANCER
Tretinoin,"Retinoic acid",0.3,0.866,83.1,38,PANCANCER
Vinblastine,"Microtubule destabiliser",0.21,0.876,99.5,38,PANCANCER
XMD8-92,MAPK7,-0.0851,0.877,99.7,30,PANCANCER
WZ3105,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",-0.0235,0.877,61.1,43,PANCANCER
Dabrafenib,BRAF,0.0397,0.879,98.7,39,PANCANCER
AZD8055,"MTORC1, MTORC2",0.0319,0.88,94.5,37,PANCANCER
NU7441,DNAPK,0.138,0.883,76.4,37,PANCANCER
Lenalidomide,CRBN,0.161,0.884,99,38,PANCANCER
Bleomycin,"dsDNA break induction",-0.132,0.887,89.7,36,PANCANCER
Mitomycin-C,"DNA crosslinker",-0.0892,0.889,99.6,36,PANCANCER
YM201636,PIKFYVE,-0.0598,0.89,87.9,43,PANCANCER
GSK690693,"AKT1, AKT2, AKT3",-0.159,0.891,98.8,43,PANCANCER
THZ-2-49,CDK9,-0.0413,0.924,95.4,43,PANCANCER
NPK76-II-72-1,PLK3,-0.0377,0.924,85.9,43,PANCANCER
"Sepantronium bromide",BIRC5,0.151,0.928,89.7,42,PANCANCER
ZSTK474,"PI3K (class 1)",-0.0558,0.928,89,43,PANCANCER
CHIR-99021,"GSK3A, GSK3B",0.108,0.929,99.6,38,PANCANCER
CCT007093,PPM1D,0.0786,0.929,71.9,38,PANCANCER
Gemcitabine,"Pyrimidine antimetabolite",0.0821,0.93,86.9,36,PANCANCER
Erlotinib,EGFR,0.205,0.933,99.8,19,PANCANCER
Doxorubicin,Anthracycline,0.0356,0.937,71.4,36,PANCANCER
Thapsigargin,SERCA,0.0218,0.946,98.7,36,PANCANCER
GSK319347A,IKK,0.119,0.946,99.3,20,PANCANCER
PFI-1,BRD4,0.136,0.951,74.5,40,PANCANCER
SNX-2112,HSP90,-0.0817,0.966,99.2,43,PANCANCER
Luminespib,HSP90,0.0321,0.969,80.3,35,PANCANCER
"Epothilone B","Microtubule stabiliser",-0.0761,0.969,83,36,PANCANCER
KU-55933,ATM,0.0971,0.971,96.4,37,PANCANCER
AS605240,PI3Kgamma,0.0876,0.972,99.4,43,PANCANCER
Methotrexate,Antimetabolite,-0.0177,0.975,95.4,38,PANCANCER
PLX-4720,BRAF,0.124,0.975,95.6,40,PANCANCER
Palbociclib,"CDK4, CDK6",0.0439,0.977,93.5,37,PANCANCER
AS601245,"JNK1, JNK2, JNK2",-0.103,0.983,99.7,36,PANCANCER
STF-62247,"Autophagy inducer",0.0041,0.987,98.9,43,PANCANCER
Talazoparib,"PARP1, PARP2",0.0883,0.99,85.7,39,PANCANCER
WHI-P97,JAK3,0.0719,0.991,97.6,43,PANCANCER
PF-562271,"FAK, FAK2",-0.0306,0.992,80.7,37,PANCANCER
THZ-2-102-1,CDK7,-0.000451,0.993,93.3,41,PANCANCER
NVP-TAE684,ALK,0.0275,0.995,99.7,20,PANCANCER
"JNK Inhibitor VIII",JNK,0.237,0.996,99.9,37,PANCANCER
