Drug,"Drug Target","Effect size",P-value,FDR%,"No. of altered cell lines","Tissue analysis"
NVP-BHG712,EPHB4,0.54,0.129,86.1,10,PANCANCER
VNLG/124,"HDAC,RAR",0.591,0.131,99.4,10,PANCANCER
QL-X-138,BTK,0.489,0.135,89.5,10,PANCANCER
QL-XI-92,DDR1,0.604,0.149,86.4,10,PANCANCER
WZ3105,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",0.394,0.152,53.5,10,PANCANCER
RO-3306,CDK1,0.542,0.152,72.1,13,PANCANCER
Lenalidomide,CRBN,0.69,0.152,93.2,13,PANCANCER
JQ12,"HDAC1, HDAC2",0.638,0.152,98.4,7,PANCANCER
XMD15-27,CAMK2,0.632,0.155,86.2,10,PANCANCER
XMD14-99,"ALK, CDK7, LTK, others",0.64,0.16,87.9,10,PANCANCER
Idelalisib,PI3Kdelta,0.472,0.161,99.1,10,PANCANCER
MPS-1-IN-1,MPS1,0.741,0.163,76.5,10,PANCANCER
STF-62247,"Autophagy inducer",0.45,0.165,96.4,10,PANCANCER
KIN001-236,"Angiopoietin-1 receptor",0.541,0.173,99.2,10,PANCANCER
Gefitinib,EGFR,0.445,0.179,73.6,13,PANCANCER
PIK-93,PI3Kgamma,0.418,0.179,98.6,10,PANCANCER
"AKT inhibitor VIII","AKT1, AKT2, AKT3",0.16,0.185,86.1,10,PANCANCER
Amuvatinib,"KIT, PDGFRA, FLT3",0.469,0.187,99.2,10,PANCANCER
Daporinad,NAMPT,0.653,0.192,75.5,13,PANCANCER
VX-11e,ERK2,0.547,0.196,94.8,10,PANCANCER
ZM447439,"AURKA, AURKB",0.609,0.197,54.7,10,PANCANCER
Etoposide,TOP2,0.781,0.198,67.7,8,PANCANCER
SB216763,"GSK3A, GSK3B",0.746,0.206,70,10,PANCANCER
PLX-4720,BRAF,0.633,0.209,94.9,14,PANCANCER
GSK690693,"AKT1, AKT2, AKT3",0.306,0.215,82.4,10,PANCANCER
BIX02189,"MEK5, ERK5",0.483,0.227,89.3,10,PANCANCER
Ruxolitinib,"JAK1, JAK2",0.553,0.228,99.7,10,PANCANCER
Talazoparib,"PARP1, PARP2",0.505,0.24,62.5,14,PANCANCER
CP724714,ERBB2,0.211,0.247,72.7,10,PANCANCER
"Ispinesib Mesylate",KSP,0.524,0.247,69.7,10,PANCANCER
CHIR-99021,"GSK3A, GSK3B",0.472,0.255,91.1,13,PANCANCER
IOX2,EGLN1,0.445,0.257,75.9,13,PANCANCER
QL-VIII-58,"MTOR, ATR",0.403,0.264,63.5,9,PANCANCER
JW-7-24-1,LCK,0.399,0.265,96.4,10,PANCANCER
Olaparib,"PARP1, PARP2",0.417,0.271,67.4,14,PANCANCER
MK-2206,"AKT1, AKT2",-0.339,0.275,97.6,13,PANCANCER
TL-2-105,"not defined",0.336,0.276,93.3,10,PANCANCER
Piperlongumine,"Induces reactive oxygen species",0.436,0.278,72.2,13,PANCANCER
Phenformin,"Biguanide agent",0.277,0.282,80.7,10,PANCANCER
Pictilisib,"PI3K (class 1)",0.355,0.285,80.6,13,PANCANCER
"TW 37","BCL2, BCL-XL, MCL1",0.422,0.291,52.8,14,PANCANCER
"Wee1 Inhibitor","WEE1, CHEK1",0.582,0.291,65.4,10,PANCANCER
"AICA Ribonucleotide","AMPK agonist",0.457,0.291,99.9,13,PANCANCER
Avagacestat,"Amyloid beta20, Amyloid beta40",0.447,0.292,80,14,PANCANCER
YK-4-279,"RNA helicase A",0.48,0.298,74.5,12,PANCANCER
XMD13-2,RIPK1,0.491,0.305,90.2,10,PANCANCER
Olaparib,"PARP1, PARP2",0.587,0.312,73.5,13,PANCANCER
Axitinib,"PDGFR, KIT, VEGFR",0.496,0.324,80.4,13,PANCANCER
KIN001-266,MAP3K8,0.448,0.326,64,10,PANCANCER
Bleomycin,"dsDNA break induction",0.433,0.332,80.5,8,PANCANCER
Pelitinib,EGFR,0.259,0.334,88.8,10,PANCANCER
"JNK Inhibitor VIII",JNK,0.471,0.335,99.9,14,PANCANCER
"AKT inhibitor VIII","AKT1, AKT2, AKT3",0.182,0.336,80,8,PANCANCER
Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",0.479,0.339,99.9,10,PANCANCER
IPA-3,PAK1,0.51,0.339,92.2,8,PANCANCER
Afatinib,"ERBB2, EGFR",0.0543,0.345,84,13,PANCANCER
AZD6482,PI3Kbeta,0.299,0.359,75,14,PANCANCER
Alectinib,ALK,0.246,0.36,99.9,10,PANCANCER
PAC-1,"Procaspase-3, Procaspase-7",0.36,0.37,78.4,7,PANCANCER
GW441756,NTRK1,-0.251,0.397,99.4,13,PANCANCER
GW-2580,CSF1R,0.455,0.401,99.8,10,PANCANCER
rTRAIL,"TRAIL receptor agonist",0.41,0.403,99.8,14,PANCANCER
CHIR-99021,"GSK3A, GSK3B",0.483,0.408,74.5,8,PANCANCER
FH535,"PPARgamma, PPARdelta",-0.364,0.409,93.5,8,PANCANCER
Bicalutamide,AR,0.381,0.417,99.6,14,PANCANCER
OSU-03012,"PDK1 (PDPK1)",0.469,0.42,93.3,8,PANCANCER
Cetuximab,EGFR,-0.14,0.429,72.1,14,PANCANCER
Refametinib,"MEK1, MEK2",0.311,0.44,79.4,14,PANCANCER
FR-180204,"ERK1, ERK2",0.331,0.44,99.8,10,PANCANCER
Enzastaurin,PKCB,0.121,0.448,94.6,10,PANCANCER
AZD6482,PI3Kbeta,0.288,0.474,86.7,8,PANCANCER
Bosutinib,"SRC, ABL, TEC",0.363,0.474,61.1,13,PANCANCER
HG-5-88-01,"EGFR, ADCK4",0.657,0.483,80.2,9,PANCANCER
"Bryostatin 1",PKC,0.277,0.489,98.9,7,PANCANCER
Motesanib,"VEGFR, RET, KIT, PDGFR",0.364,0.499,99.3,14,PANCANCER
JQ1,"BRD2, BRD3, BRD4, BRDT",0.138,0.523,86.4,13,PANCANCER
QL-XII-61,"BMX, BTK",0.421,0.541,87.2,9,PANCANCER
Zibotentan,"Endothelin-1 receptor (EDNRA)",0.406,0.549,85.3,10,PANCANCER
Doramapimod,"p38, JNK2",0.332,0.555,99.7,14,PANCANCER
(5Z)-7-Oxozeaenol,TAK1,0.375,0.6,71.2,13,PANCANCER
Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",0.235,0.623,99.7,8,PANCANCER
XAV939,"TNKS1, TNKS2",0.168,0.639,92.2,14,PANCANCER
FTI-277,"Farnesyl-transferase (FNTA)",0.0241,0.646,95.6,8,PANCANCER
T0901317,"LXR, FXR",0.345,0.65,98.8,10,PANCANCER
Bicalutamide,AR,0.402,0.666,84.7,8,PANCANCER
Cisplatin,"DNA crosslinker",0.219,0.673,70.2,13,PANCANCER
Refametinib,"MEK1, MEK2",0.318,0.675,73.2,13,PANCANCER
TAK-715,"p38alpha, p38beta",0.228,0.698,99.4,10,PANCANCER
DMOG,HIF-PH,0.373,0.699,98.9,7,PANCANCER
KIN001-270,CDK9,0.335,0.711,98.9,10,PANCANCER
PD0325901,"MEK1, MEK2",-0.0616,0.713,96.9,14,PANCANCER
Thapsigargin,SERCA,0.309,0.73,98.1,7,PANCANCER
Elesclomol,HSP90,0.0195,0.745,70.2,13,PANCANCER
Avagacestat,"Amyloid beta20, Amyloid beta40",0.205,0.754,80.3,10,PANCANCER
Trametinib,"MEK1, MEK2",0.0559,0.786,76.1,14,PANCANCER
Navitoclax,"BCL2, BCL-XL, BCL-W",0.0571,0.788,89,14,PANCANCER
Quizartinib,FLT3,0.109,0.804,98.6,10,PANCANCER
Nilotinib,ABL,0.251,0.827,99.2,10,PANCANCER
AZD7762,"CHEK1, CHEK2",0.272,0.874,93.6,13,PANCANCER
Methotrexate,Antimetabolite,0.386,0.91,95.2,13,PANCANCER
Afatinib,"ERBB2, EGFR",-0.104,0.911,99.7,14,PANCANCER
Selumetinib,"MEK1, MEK2",0.181,0.921,86.4,14,PANCANCER
WHI-P97,JAK3,0.118,0.936,97.3,10,PANCANCER
FMK,RSK,0.334,0.944,87.6,7,PANCANCER
Pictilisib,"PI3K (class 1)",0.0878,0.947,91.8,14,PANCANCER
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",0.0953,0.965,91.5,8,PANCANCER
YM201636,PIKFYVE,0.0582,0.974,88.7,10,PANCANCER
